None,ticker,date,open,close
0,V,2018-03-27,121.52,117.4
1,V,2018-03-26,119.09,120.64
2,V,2018-03-23,119.89,117.0
3,V,2018-03-22,122.2,119.99
4,V,2018-03-21,124.9,123.22
5,V,2018-03-20,123.38,124.91
6,V,2018-03-19,123.94,123.21
7,V,2018-03-16,123.85,124.53
8,V,2018-03-15,123.13,123.41
9,V,2018-03-14,124.04,122.58
10,V,2018-03-13,124.25,123.2
11,V,2018-03-12,124.75,124.24
12,V,2018-03-09,123.25,124.51
13,V,2018-03-08,121.96,122.22
14,V,2018-03-07,120.03,121.85
15,V,2018-03-06,122.83,121.06
16,V,2018-03-05,120.45,121.88
17,V,2018-03-02,119.09,120.77
18,V,2018-03-01,123.26,120.4
19,V,2018-02-28,123.65,122.94
20,V,2018-02-27,124.7,123.37
21,V,2018-02-26,123.58,124.59
22,V,2018-02-23,121.57,122.93
23,V,2018-02-22,120.67,120.38
24,V,2018-02-21,122.05,120.43
25,V,2018-02-20,121.35,122.01
26,V,2018-02-16,121.63,121.85
27,V,2018-02-15,121.7,122.28
28,V,2018-02-14,117.62,120.83
29,V,2018-02-13,117.85,118.35
30,V,2018-02-12,117.79,118.47
31,V,2018-02-09,114.55,116.32
32,V,2018-02-08,119.53,113.86
33,V,2018-02-07,120.09,119.65
34,V,2018-02-06,115.2,119.97
35,V,2018-02-05,118.7,116.27
36,V,2018-02-02,123.72,120.91
37,V,2018-02-01,124.74,125.72
38,V,2018-01-31,123.78,124.23
39,V,2018-01-30,123.82,123.55
40,V,2018-01-29,126.74,124.84
41,V,2018-01-26,125.77,126.32
42,V,2018-01-25,125.0,125.22
43,V,2018-01-24,125.05,124.55
44,V,2018-01-23,124.6,124.65
45,V,2018-01-22,122.87,124.33
46,V,2018-01-19,123.05,122.7
47,V,2018-01-18,122.52,123.11
48,V,2018-01-17,121.2,121.98
49,V,2018-01-16,121.18,120.39
50,V,2018-01-12,120.12,120.09
51,V,2018-01-11,118.8,119.84
52,V,2018-01-10,118.69,118.98
53,V,2018-01-09,119.97,119.11
54,V,2018-01-08,118.61,119.34
55,V,2018-01-05,116.99,118.86
56,V,2018-01-04,116.25,116.08
57,V,2018-01-03,114.95,115.65
58,V,2018-01-02,114.57,114.51
